timestamp_utc,timestamp_ist,date,hour,NO2
2024-01-01 08:06:33,2024-01-01 13:36:33,2024-01-01,13,2.0569084546454954E-4
2024-01-02 07:47:33,2024-01-02 13:17:33,2024-01-02,13,2.3280563697197957E-4
2024-01-07 07:54:03,2024-01-07 13:24:03,2024-01-07,13,2.4345432960062768E-4
2024-01-08 07:35:04,2024-01-08 13:05:04,2024-01-08,13,3.8596858515732395E-4
2024-01-10 06:57:06,2024-01-10 12:27:06,2024-01-10,12,1.6658845358185972E-4
2024-01-11 06:38:07,2024-01-11 12:08:07,2024-01-11,12,2.096211761672304E-4
2024-01-12 08:00:39,2024-01-12 13:30:39,2024-01-12,13,3.5388497053644234E-4
2024-01-13 07:41:39,2024-01-13 13:11:39,2024-01-13,13,4.96899391772814E-4
2024-01-14 07:22:41,2024-01-14 12:52:41,2024-01-14,12,2.6739659381422147E-4
2024-01-17 08:07:15,2024-01-17 13:37:15,2024-01-17,13,2.858345825173131E-4
2024-01-18 07:48:17,2024-01-18 13:18:17,2024-01-18,13,4.049137674426527E-4
2024-01-20 07:10:20,2024-01-20 12:40:20,2024-01-20,12,3.5246625402443366E-4
2024-01-21 06:51:22,2024-01-21 12:21:22,2024-01-21,12,1.5983904391767483E-4
2024-01-22 06:32:23,2024-01-22 12:02:23,2024-01-22,12,2.870061523745573E-4
2024-01-22 08:13:53,2024-01-22 13:43:53,2024-01-22,13,5.368376150727073E-4
2024-01-23 07:54:55,2024-01-23 13:24:55,2024-01-23,13,3.5729718556383304E-4
2024-01-24 07:35:58,2024-01-24 13:05:58,2024-01-24,13,1.9981722501392056E-4
2024-01-26 06:58:01,2024-01-26 12:28:01,2024-01-26,12,3.59026488346394E-4
2024-01-27 06:39:04,2024-01-27 12:09:04,2024-01-27,12,1.1538611640767985E-4
2024-01-29 07:42:38,2024-01-29 13:12:38,2024-01-29,13,1.9047869559538983E-4
2024-01-30 07:23:42,2024-01-30 12:53:42,2024-01-30,12,3.535584418580634E-4
2024-02-02 06:26:49,2024-02-02 11:56:49,2024-02-02,11,9.613742707403014E-5
2024-02-02 08:08:19,2024-02-02 13:38:19,2024-02-02,13,8.438186563766679E-5
2024-02-05 07:11:28,2024-02-05 12:41:28,2024-02-05,12,1.0560944245606214E-4
2024-02-06 06:52:31,2024-02-06 12:22:31,2024-02-06,12,8.899786725750103E-5
2024-02-07 06:33:33,2024-02-07 12:03:33,2024-02-07,12,8.301735442670907E-5
2024-02-07 08:15:03,2024-02-07 13:45:03,2024-02-07,13,5.300565692936104E-5
2024-02-08 07:56:07,2024-02-08 13:26:07,2024-02-08,13,6.130053952801744E-5
2024-02-09 07:37:10,2024-02-09 13:07:10,2024-02-09,13,1.429879309576001E-4
2024-02-10 07:18:14,2024-02-10 12:48:14,2024-02-10,12,2.90952832971635E-4
2024-02-11 06:59:16,2024-02-11 12:29:16,2024-02-11,12,1.8806676962412194E-4
2024-02-13 08:02:54,2024-02-13 13:32:54,2024-02-13,13,7.144853244839091E-4
2024-02-14 07:43:57,2024-02-14 13:13:57,2024-02-14,13,1.4785170358055314E-4
2024-02-15 07:24:59,2024-02-15 12:54:59,2024-02-15,12,1.6322287115031275E-4
2024-02-17 06:47:07,2024-02-17 12:17:07,2024-02-17,12,1.3548791533382225E-4
2024-02-18 08:09:41,2024-02-18 13:39:41,2024-02-18,13,1.4560490901109228E-4
2024-02-19 07:50:44,2024-02-19 13:20:44,2024-02-19,13,9.224796383217492E-5
2024-02-20 07:31:47,2024-02-20 13:01:47,2024-02-20,13,1.6552711965590463E-4
2024-02-22 06:53:56,2024-02-22 12:23:56,2024-02-22,12,1.2051391589237694E-4
2024-02-23 06:35:00,2024-02-23 12:05:00,2024-02-23,12,1.0200649218019882E-4
